,Crimes_Z0T100,Crimes_Z0T101,Crimes_Z0T102,Crimes_Z0T103,Crimes_Z0T104,Crimes_Z1T100,Crimes_Z1T101,Crimes_Z1T102,Crimes_Z1T103,Crimes_Z1T104,Crimes_Z2T100,Crimes_Z2T101,Crimes_Z2T102,Crimes_Z2T103,Crimes_Z2T104,Crimes_Z3T100,Crimes_Z3T101,Crimes_Z3T102,Crimes_Z3T103,Crimes_Z3T104,Crimes_Z4T100,Crimes_Z4T101,Crimes_Z4T102,Crimes_Z4T103,Crimes_Z4T104
2020-06-04,59,49,5,36,70,18,19,6.0,14,41,17,9.0,5.0,9,16,15,16,5.0,22,22,7.0,2.0,1.0,4.0,9.0
2020-06-05,82,38,13,54,85,20,10,4.0,16,37,4,7.0,2.0,11,21,47,7,3.0,15,22,9.0,3.0,0.0,2.0,8.0
2020-06-06,62,38,10,49,72,16,11,1.0,9,30,11,6.0,3.0,9,21,13,11,6.0,14,22,7.0,7.0,0.0,1.0,15.0
2020-06-07,61,45,9,23,63,26,24,6.0,27,26,10,7.0,4.0,6,20,19,6,5.0,15,24,4.0,6.0,1.0,4.0,6.0
2020-06-08,85,38,10,51,78,22,19,9.0,24,44,12,12.0,8.0,7,27,16,10,9.0,32,27,3.0,4.0,0.0,3.0,9.0
2020-06-09,57,36,9,62,80,19,23,6.0,21,28,15,6.0,3.0,14,20,25,15,8.0,23,25,6.0,4.0,3.0,6.0,8.0
2020-06-10,61,50,10,80,91,23,22,8.0,31,44,11,11.0,6.0,27,26,20,11,11.0,48,31,9.0,13.0,1.0,4.0,6.0
2020-06-11,64,35,8,63,81,31,19,8.0,24,47,11,15.0,4.0,9,30,24,17,5.0,40,31,7.0,5.0,4.0,5.0,5.0
2020-06-12,47,45,7,72,83,19,26,10.0,15,35,13,12.0,4.0,23,20,18,13,6.0,55,36,9.0,2.0,0.0,1.0,8.0
2020-06-13,72,45,6,54,89,27,11,3.0,9,48,12,6.0,4.0,10,22,18,17,3.0,27,24,8.0,1.0,0.0,5.0,9.0
2020-06-14,66,41,6,40,67,24,12,3.0,24,30,16,6.0,3.0,16,16,13,11,3.0,25,24,8.0,4.0,0.0,7.0,5.0
2020-06-15,68,39,11,78,99,37,23,4.0,30,65,6,12.0,8.0,18,19,28,18,8.0,33,37,7.0,6.0,2.0,3.0,8.0
2020-06-16,68,41,11,61,92,29,18,5.0,30,68,13,14.0,6.0,15,32,15,20,8.0,51,32,3.0,8.0,3.0,2.0,7.0
